id,name,tags
a9cd2a83-fcb1-47d9-a3ea-a785108354c1,C^usins,"rock, aaron, canada, new wave, cousins, leigh"
8983d2f7-5d9e-4948-bdba-ed58e2cd01d0,J^nt,"classic pop and rock"
adcf40ed-8d95-4ad4-8649-22dfc13d08c9,"Symph^ny N^va Sc^tia",
bd06a661-4122-4d7d-a007-a59511162d81,P^stdata,
356afd7f-e155-4427-ac7f-4b457ee3136b,"The Age",
aa8765fa-9e15-4ba3-97eb-065036ee698e,Hillsburn,
8baa2025-1961-4310-81ad-9d6b183ee98e,"The M^dern Grass","canadian, grass, modern"
25c4935f-5894-4d4f-be9e-820f383e95e1,Maun^,"mauno, pop, halifax"
387b6026-e68b-4bb2-ae39-dd78392aa29e,"A Sight F^r Sewn Eyes",
fd4387cb-7a1d-4dce-bdc5-22c76cba3a93,"Machine Wraith",
